type,w_i^v,v_i^v,lat_i^v,lon_i^v
高栏车,19,72,118.6456615,29.09627672
通风箱车,21,69,114.9527727,25.85312197
低栏车,34,98,116.2303033,28.94441333
低栏车,35,94,118.5093153,28.99677037
冷藏车,32,93,115.8417418,27.99727578
低栏车,33,91,115.7965576,29.07684476
高栏车,35,91,116.467959,29.27267191
冷藏车,33,92,116.349273,29.12210988
平板车,19,66,115.8417075,27.99722435
厢车,32,90,116.3173168,29.01620708
平板车,20,66,114.9006776,26.99417215
平板车,35,100,117.66345,29.275922
通风箱车,19,66,116.2938076,29.07019476
冷藏车,32,97,115.874839,28.04260191
厢车,21,71,118.5327242,29.94759673
通风箱车,20,73,114.9298119,28.06193619
通风箱车,33,96,116.1012873,29.07817855
厢车,34,95,115.5047248,27.65391049
厢车,35,92,116.7009537,26.54891957
低栏车,34,98,113.0663938,23.84573308
冷藏车,35,98,116.157469,29.15061191
平板车,34,97,116.7094774,29.40872963
厢车,33,92,116.2937219,29.07006619
通风箱车,34,93,116.0604433,29.04032333
通风箱车,35,95,114.9005576,26.99399215
冷藏车,20,72,115.7654562,26.72848762
平板车,21,68,114.0559388,24.92289179
高栏车,21,71,116.8427815,29.58016386
平板车,21,70,116.8061505,26.67448905
厢车,20,75,116.2346619,29.06097619
平板车,33,91,114.2756533,28.05386333
通风箱车,35,90,116.7693763,28.86605836
冷藏车,19,69,118.4449352,29.80776639
平板车,19,65,115.8414932,27.99690292
厢车,19,75,115.829219,29.11231191
低栏车,20,65,116.349033,29.12174988
低栏车,32,99,115.8746419,28.04230619
平板车,19,75,115.9494423,28.78318685
冷藏车,35,92,114.4896986,27.19951507
通风箱车,19,69,116.1573062,29.15036762
冷藏车,20,71,116.7270284,29.52949119
平板车,21,68,117.530059,29.38352191
高栏车,19,69,116.4367005,26.26606905
冷藏车,20,70,118.5324756,29.94722387
冷藏车,35,99,114.9524041,25.85256911
平板车,35,100,116.8060048,26.67427048
平板车,20,75,116.4449162,29.27235762
冷藏车,21,72,115.1510488,27.13773179
通风箱车,21,73,115.796189,29.07629191
低栏车,21,70,114.7977754,25.1705126
通风箱车,20,66,115.8889359,28.04689711
冷藏车,35,93,115.7652333,26.72815333
低栏车,32,95,114.9523356,25.85246626
高栏车,32,90,116.2934562,29.06966762
低栏车,19,73,115.1509888,27.13764179
平板车,34,92,115.6068219,28.84081096
低栏车,20,74,116.348853,29.12147988
冷藏车,21,65,118.5366329,29.02636313
通风箱车,20,73,116.7091602,29.40825391
低栏车,20,74,116.7691363,28.86569836
平板车,20,67,118.6451472,29.09550529
低栏车,32,94,116.2209879,29.2637081
平板车,32,97,115.949228,28.78286543
冷藏车,33,92,116.6062067,29.37062813
平板车,21,72,115.9349319,29.23120619
通风箱车,20,67,117.3144257,29.34660063
通风箱车,35,95,115.9491555,28.6729291
厢车,35,98,118.6450872,29.09541529
平板车,35,98,114.9293576,28.06125476
厢车,33,91,115.765079,26.72792191
低栏车,20,68,115.9491212,28.67287767
通风箱车,21,67,114.4894157,27.19909078
通风箱车,35,91,118.532227,29.94685101
低栏车,33,90,116.2649848,29.06221048
冷藏车,34,94,115.0328218,26.09721578
厢车,19,69,114.7947509,26.89618788
厢车,21,72,116.234259,29.06037191
厢车,35,91,116.7123619,30.04375216
厢车,33,95,115.6066248,28.84051524
高栏车,19,69,116.9660922,29.03650672
厢车,35,95,118.4417914,29.80493401
低栏车,19,71,114.7949401,25.16819307
高栏车,20,75,116.3428667,29.06433333
低栏车,20,65,116.4408,29.26855
低栏车,35,93,116.4981132,29.31067355
厢车,35,96,116.2506167,28.96663333
低栏车,20,66,116.3415054,29.04280752
平板车,20,73,116.46698,29.5424
高栏车,33,94,116.06822,29.04978
厢车,35,99,116.217167,29.26051001
冷藏车,32,93,116.3416367,29.06316333
高栏车,21,72,115.8282905,29.06808926
高栏车,32,92,116.0677,29.0493
高栏车,19,69,116.22325,28.9378
通风箱车,19,73,116.30875,29.08785
冷藏车,19,67,116.0224865,25.83162677
高栏车,20,74,114.92543,28.05773
高栏车,21,71,114.8971738,26.99084976
冷藏车,33,90,117.3118076,29.34460682
通风箱车,20,69,116.27913,29.05447
平板车,33,91,116.9974564,29.11548616
冷藏车,21,75,116.3416667,29.06323333
高栏车,32,92,115.4677895,27.5646568
高栏车,19,66,117.6585148,29.27155247
冷藏车,20,75,116.19119,28.79466
厢车,33,91,116.7217903,29.52506738
厢车,32,100,115.2555664,26.54349116
高栏车,34,95,116.3427035,29.11608892
厢车,33,100,117.3185388,29.3059156
厢车,33,90,116.1908681,28.79349381
冷藏车,34,94,116.3446635,29.11772892
平板车,21,72,116.705205,29.40495439
低栏车,21,72,115.64324,26.59678
冷藏车,32,91,116.0393792,28.74651664
平板车,32,94,115.8851864,28.04390616
通风箱车,20,69,115.0297561,26.09491721
通风箱车,32,95,114.8974508,25.79482062
高栏车,34,97,116.2409105,28.93971571
高栏车,19,65,116.2296724,29.02377524
通风箱车,33,94,116.7236113,29.52666548
通风箱车,20,73,115.6428295,26.59653095
平板车,20,67,114.7082071,27.1113214
低栏车,33,94,115.8253219,29.10876619
高栏车,19,65,116.3099152,29.08898952
低栏车,20,71,118.5055724,28.99345608
高栏车,35,95,116.0712024,28.93329524
低栏车,21,71,116.4980011,28.53395315
冷藏车,32,97,114.7945896,25.16803402
平板车,21,71,116.963138,29.03437529
高栏车,19,71,116.2690367,28.97189667
厢车,21,73,114.0526074,24.92019464
通风箱车,34,96,116.2937383,28.99101331
冷藏车,33,100,114.7915052,26.89361931
通风箱车,21,69,118.5291785,29.94457816
低栏车,19,72,113.0630709,23.84304879
平板车,33,96,115.0299275,26.09517435
冷藏车,20,73,114.7915395,26.89367074
厢车,32,95,118.4910091,28.93046695
平板车,33,96,115.9301362,28.10288762
高栏车,19,74,117.3160524,28.49666524
冷藏车,20,71,116.2320277,29.21339143
平板车,33,94,118.6416957,29.09262814
高栏车,20,68,116.3208116,29.03818998
通风箱车,19,66,116.9981431,29.11628283
通风箱车,21,74,116.1832703,29.45000536
低栏车,35,98,118.64173,29.09267957
冷藏车,19,75,116.313454,29.0127128
厢车,19,70,116.2938755,28.99121903
冷藏车,20,71,117.2938603,28.92214219
低栏车,20,75,114.7916509,26.89383788
通风箱车,19,65,116.3418621,29.04333419
厢车,19,73,114.897029,26.99099928
厢车,34,99,115.6766252,28.62156114
平板车,19,73,116.0688624,29.05058524
高栏车,19,75,117.6600158,29.27307057
厢车,32,91,117.3161895,28.49687095
低栏车,35,98,116.2508948,28.96711714
平板车,33,92,115.5009477,27.65054477
低栏车,34,93,116.1267597,29.10622137
通风箱车,34,95,116.740751,29.56631538
厢车,20,65,117.6179741,28.31353332
平板车,21,65,115.6767024,28.62167686
低栏车,21,65,116.9983059,29.11652711
低栏车,32,93,116.0406748,29.01833714
冷藏车,20,72,116.0715367,28.93379667
低栏车,32,93,117.294006,28.92236076
平板车,32,96,116.9634637,29.03486386
通风箱车,20,67,116.1910605,28.79394905
通风箱车,21,69,116.230861,29.0576581
通风箱车,33,97,115.6040391,28.83893667
厢车,34,93,116.1268626,29.10637566
高栏车,33,92,116.1544567,29.14802667
冷藏车,33,91,116.4983953,28.53454457
平板车,34,93,116.5925105,29.49144905
冷藏车,19,68,116.2895524,29.06644524
平板车,33,98,116.610552,29.39816887
冷藏车,21,67,116.2181365,29.26173096
平板车,19,73,115.7900981,29.07118881
厢车,20,71,116.0995067,29.08510167
平板车,20,72,116.6979822,26.54676242
厢车,21,69,118.4415952,29.80505639
通风箱车,33,97,114.4865643,27.19711364
高栏车,19,71,117.6181627,28.31381618
平板车,19,66,116.4335062,26.26357762
厢车,32,91,116.1932581,28.79682881
高栏车,21,73,116.724177,29.52751405
冷藏车,32,93,115.4692547,27.56632132
平板车,33,92,116.1912319,28.79420619
厢车,32,99,116.0286421,28.79129609
厢车,33,90,116.289681,29.0666381
平板车,33,93,114.7951296,25.16884402
厢车,19,74,115.9466852,28.78135114
厢车,32,100,116.3138483,29.01330423
厢车,34,91,116.2324819,29.21407285
平板车,19,70,118.5061724,28.99435608
冷藏车,21,75,116.7661734,28.86355407
低栏车,34,94,117.6603758,29.27361057
高栏车,20,70,113.0636109,23.84385879
厢车,19,74,116.4678781,29.54366381
