type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
砂石散货,18,45,116.26555,28.36505,120.9499771,28.12952952,2023/2/1 15:26,2023/2/3 1:56,3000
机器零件,33,93,115.8488,28.67895,121.431186,29.28058238,2023/2/1 11:12,2023/2/2 11:39,3800
生鲜果蔬,18,52,115.9077,28.6879,121.231269,30.17062333,2023/2/1 14:11,2023/2/2 17:21,6200
生鲜果蔬,18,55,115.87,28.6699,118.8763107,28.93165666,2023/2/1 8:32,2023/2/2 18:13,2200
日用百货,30,77,115.77973,25.59998,121.131945,28.85369095,2023/2/1 12:08,2023/2/2 13:37,3800
砂石散货,31,66,114.9296,25.86932,120.4306765,30.87962239,2023/2/1 10:35,2023/2/2 17:13,6170
五金机械,19,61,116.0293667,25.87944667,122.1087757,30.02254666,2023/2/1 11:44,2023/2/2 18:05,6350
机器零件,31,84,114.9291352,25.86933952,115.8797267,29.61956667,2023/2/1 10:59,2023/2/2 13:43,1880
机器零件,29,64,114.9789038,27.11923238,118.627015,28.75191095,2023/2/1 15:11,2023/2/2 15:25,3200
生鲜果蔬,29,72,114.9786724,27.11912524,121.5709367,29.87045953,2023/2/1 8:26,2023/2/2 15:39,3950
日用百货,18,70,114.898441,27.0490181,114.2678924,26.71891524,2023/2/1 14:08,2023/2/2 18:50,1500
生鲜果蔬,30,90,114.6182095,27.37891095,120.1706874,30.25033666,2023/2/1 14:34,2023/2/2 23:36,5080
砂石散货,31,94,115.9236681,28.54309381,120.572085,30.00013095,2023/2/1 13:59,2023/2/2 18:37,4190
机器零件,18,65,115.8193067,28.69947667,116.5301495,27.22007095,2023/2/1 14:56,2023/2/2 15:22,1500
五金机械,34,80,115.5583152,28.85848952,120.0749021,29.3011481,2023/2/1 10:24,2023/2/2 15:14,4600
生鲜果蔬,18,61,115.5602,28.8603,121.1346714,28.85782,2023/2/1 14:06,2023/2/2 19:27,6280
生鲜果蔬,33,95,115.8494324,28.67941524,121.4013106,29.65064381,2023/2/1 14:25,2023/2/2 14:37,5080
机器零件,32,88,115.899591,28.6795281,117.9501888,28.43009096,2023/2/1 11:34,2023/2/2 22:44,2400
机器零件,33,83,115.8687595,28.66863095,114.3506695,25.40020095,2023/2/1 8:10,2023/2/2 11:07,2400
日用百货,20,67,115.9179281,28.62773381,120.4017633,27.50061333,2023/2/1 14:49,2023/2/3 1:25,3500
日用百货,20,61,115.7270967,28.71683667,114.9781238,27.11902238,2023/2/1 8:42,2023/2/2 18:05,1400
日用百货,17,42,117.9500173,28.42983381,121.1512275,30.03060286,2023/2/1 13:49,2023/2/2 23:30,2000
砂石散货,29,69,116.6800589,28.69985428,120.0749021,29.3011481,2023/2/1 13:16,2023/2/2 23:48,2300
五金机械,31,90,117.8501005,29.24987476,116.1799624,29.26972524,2023/2/1 9:42,2023/2/2 16:01,1250
五金机械,18,61,117.9501421,28.42989524,121.1308885,28.85330952,2023/2/1 13:54,2023/2/2 18:50,2000
生鲜果蔬,20,55,120.1501835,30.27991571,119.6538457,29.08076666,2023/2/1 14:16,2023/2/2 15:46,2045
机器零件,34,65,116.0293667,25.87944667,122.1087757,30.02254666,2023/2/1 8:44,2023/2/2 13:19,3950
生鲜果蔬,18,44,120.1702667,30.27995667,119.6556065,29.08140239,2023/2/1 10:09,2023/2/2 12:40,2045
五金机械,32,65,120.2003082,30.26997714,115.97911,29.72904,2023/2/1 8:41,2023/2/2 9:55,4000
日用百货,18,42,115.5396138,28.83876238,119.9710285,30.52974952,2023/2/1 9:42,2023/2/2 14:28,3000
日用百货,31,65,116.2587824,28.35786524,121.8510198,29.93050048,2023/2/1 9:22,2023/2/2 10:31,3800
砂石散货,30,76,115.839151,28.6684681,121.3905365,28.58318239,2023/2/1 12:04,2023/2/2 15:47,4530
生鲜果蔬,20,55,115.9001195,28.67807095,120.6513937,28.02068476,2023/2/1 10:59,2023/2/2 18:35,3500
生鲜果蔬,19,44,115.8572881,28.65617381,115.3501267,26.32990667,2023/2/1 8:48,2023/2/2 9:11,2045
生鲜果蔬,32,69,114.9303867,25.87016667,120.2004797,30.27023429,2023/2/1 12:07,2023/2/2 17:33,5080
生鲜果蔬,33,78,116.0296152,25.87981952,119.6534935,29.08063952,2023/2/1 10:27,2023/2/2 14:53,4355
生鲜果蔬,29,92,114.9293838,25.86971238,121.4013106,29.65064381,2023/2/1 13:25,2023/2/2 23:59,3950
五金机械,29,92,114.9791524,27.11960524,114.9302838,25.87001238,2023/2/1 11:58,2023/2/2 15:52,1800
生鲜果蔬,17,63,114.98084,27.12112,120.5745821,30.00292714,2023/2/1 12:41,2023/2/2 14:17,6300
砂石散货,18,53,114.8986895,27.04939095,116.1798838,29.26967238,2023/2/1 15:08,2023/2/2 20:57,1550
砂石散货,32,89,115.8575775,28.65711295,118.6280715,28.75229239,2023/2/1 10:28,2023/2/2 15:11,3000
砂石散货,19,46,114.9782267,27.11917667,120.4317329,30.88000381,2023/2/1 15:39,2023/2/2 21:32,6000
五金机械,17,65,114.2679952,26.71906952,119.9326493,28.45394524,2023/2/1 10:47,2023/2/2 20:36,6050
砂石散货,20,41,116.2587824,28.35786524,121.8510198,29.93050048,2023/2/1 12:36,2023/2/2 22:48,6150
砂石散货,30,94,115.9211724,28.63127524,119.71752,27.56842667,2023/2/1 11:47,2023/2/2 14:09,4355
日用百货,32,92,115.731131,28.7210881,120.9031415,29.50051239,2023/2/1 14:29,2023/2/2 14:50,5345
机器零件,29,82,115.9504495,28.68029095,119.6534935,29.08063952,2023/2/1 14:49,2023/2/3 2:06,3200
五金机械,31,89,115.9287781,28.54848381,120.7489957,30.74910095,2023/2/1 10:52,2023/2/2 15:08,4060
机器零件,18,40,115.8145797,28.69412867,118.4273671,29.1320381,2023/2/1 8:05,2023/2/2 15:28,2300
日用百货,20,44,115.5418252,28.84122952,118.9366629,28.98178381,2023/2/1 8:03,2023/2/2 17:08,2000
五金机械,20,61,116.2590708,28.35833038,120.2004797,30.27023429,2023/2/1 11:22,2023/2/2 12:12,3300
日用百货,30,89,115.8411064,28.67089124,119.2807289,29.48035714,2023/2/1 13:42,2023/2/2 16:57,2070
机器零件,32,68,115.898192,28.6779021,117.9501888,28.43009096,2023/2/1 9:20,2023/2/2 10:08,2400
机器零件,17,57,115.8575775,28.65711295,118.6280715,28.75229239,2023/2/1 8:08,2023/2/2 10:11,2300
日用百货,19,69,115.9054631,28.61482381,115.0005124,25.87009524,2023/2/1 14:45,2023/2/2 19:10,1800
机器零件,32,67,115.3694967,28.41999667,121.131945,28.85369095,2023/2/1 11:58,2023/2/2 19:34,4300
生鲜果蔬,29,64,116.3505752,28.00044952,115.0005124,25.87009524,2023/2/1 8:19,2023/2/2 15:46,1550
五金机械,20,50,116.3498038,27.98010238,114.930591,25.3801481,2023/2/1 9:40,2023/2/2 14:07,1880
砂石散货,29,88,114.2676304,26.71852393,122.3113536,29.95524143,2023/2/1 13:18,2023/2/2 15:49,6730
五金机械,32,70,116.620251,28.2302881,120.150355,30.28017286,2023/2/1 12:18,2023/2/2 15:13,4000
日用百货,18,48,116.5303295,27.22034095,120.7489957,30.74910095,2023/2/1 9:18,2023/2/2 20:50,3000
砂石散货,19,49,117.9704081,28.45039381,121.5709367,29.87045953,2023/2/1 13:48,2023/2/2 22:42,3500
日用百货,30,81,117.9503688,28.43036096,120.9031415,29.50051239,2023/2/1 13:09,2023/2/3 0:01,3070
生鲜果蔬,20,41,116.6804103,28.70038142,120.8213314,27.93018286,2023/2/1 8:55,2023/2/2 16:10,3500
五金机械,19,64,117.8504519,29.2504019,119.9326493,28.45394524,2023/2/1 8:04,2023/2/2 18:04,2000
五金机械,31,89,116.2715024,28.37164524,120.57455,30.00102095,2023/2/1 13:52,2023/2/2 19:35,3900
生鲜果蔬,30,81,115.860061,28.6903581,121.2801843,28.65305524,2023/2/1 8:41,2023/2/2 14:44,5080
砂石散货,33,88,114.9290761,25.86876679,121.8736149,29.48268666,2023/2/1 15:08,2023/2/3 0:45,6300
砂石散货,19,66,115.8704881,28.67047381,120.7000143,30.76947238,2023/2/1 10:44,2023/2/2 14:24,3500
五金机械,32,93,115.9215217,28.63153667,120.7489957,30.74910095,2023/2/1 15:15,2023/2/3 1:33,4060
砂石散货,34,77,115.7306952,28.72065952,116.6802303,28.70011142,2023/2/1 8:09,2023/2/2 14:35,2045
生鲜果蔬,20,60,115.9234705,28.63325571,117.9503135,28.43015238,2023/2/1 14:05,2023/2/2 21:10,2300
五金机械,17,57,115.7333791,28.72301857,119.9710285,30.52974952,2023/2/1 15:49,2023/2/2 22:39,2600
日用百货,34,78,116.271571,28.3717481,120.5724371,30.0002581,2023/2/1 8:33,2023/2/2 19:19,4600
日用百货,30,73,115.8601295,28.69046095,120.0749021,29.3011481,2023/2/1 16:00,2023/2/2 19:34,4000
砂石散货,31,67,115.8231048,28.70230714,120.150355,30.28017286,2023/2/1 15:47,2023/2/2 20:34,4190
机器零件,31,91,115.5530134,28.85207,119.71752,27.56842667,2023/2/1 9:36,2023/2/2 18:58,3260
五金机械,29,73,114.9311052,25.38091952,121.5508951,29.87043905,2023/2/1 13:00,2023/2/2 17:17,3950
生鲜果蔬,17,62,114.3511838,25.40097238,120.1305212,30.32025476,2023/2/1 11:20,2023/2/2 14:59,6200
生鲜果蔬,17,60,114.5312624,25.80102524,119.9013807,31.01987666,2023/2/1 8:41,2023/2/2 19:42,6150
砂石散货,32,82,115.350641,26.3306781,119.1777193,29.03216524,2023/2/1 12:59,2023/2/3 0:09,3760
生鲜果蔬,18,65,115.7797195,25.60033095,121.4013106,29.65064381,2023/2/1 15:05,2023/2/2 23:05,6000
五金机械,34,84,114.9307981,25.87078381,120.7000143,30.76947238,2023/2/1 14:00,2023/2/2 17:18,4800
生鲜果蔬,19,63,116.0300267,25.88043667,117.1695,29.2696,2023/2/1 15:34,2023/2/2 15:45,1820
砂石散货,34,66,114.9297952,25.87032952,114.6183552,27.37912952,2023/2/1 12:20,2023/2/2 18:44,2045
机器零件,17,52,114.9795638,27.12022238,119.9322971,28.4538181,2023/2/1 11:55,2023/2/2 20:42,3000
生鲜果蔬,30,68,116.2587824,28.35786524,121.8510198,29.93050048,2023/2/1 14:20,2023/2/3 2:17,5080
机器零件,19,54,116.265991,28.3658781,119.6534935,29.08063952,2023/2/1 12:31,2023/2/2 21:40,3300
机器零件,34,68,115.9451595,28.67498095,118.4273671,29.1320381,2023/2/1 11:51,2023/2/2 12:13,2400
五金机械,34,78,115.5481481,28.84801381,114.9781238,27.11902238,2023/2/1 11:12,2023/2/2 11:35,1180
日用百货,33,77,116.2715024,28.37164524,119.2822708,29.48165333,2023/2/1 12:17,2023/2/2 13:19,5350
日用百货,29,78,115.860061,28.6903581,121.8525017,29.93170667,2023/2/1 13:00,2023/2/3 0:02,1500
砂石散货,30,63,115.9015195,28.68167095,120.2382143,29.28468857,2023/2/1 14:21,2023/2/3 1:55,2600
日用百货,30,82,115.8704881,28.67047381,114.98084,27.12112,2023/2/1 10:47,2023/2/2 16:56,1000
五金机械,18,65,115.9215217,28.63153667,114.93196,27.80164,2023/2/1 13:33,2023/2/2 20:02,1000
机器零件,31,91,115.7306952,28.72065952,120.5774071,30.00429714,2023/2/1 14:17,2023/2/3 0:34,3200
五金机械,30,95,115.9234705,28.63325571,120.5749857,30.00312286,2023/2/1 12:59,2023/2/2 21:44,3200
五金机械,20,67,115.7333791,28.72301857,114.93231,25.87184,2023/2/1 8:22,2023/2/2 18:33,1000
日用百货,20,40,116.271571,28.3717481,120.1721719,30.25163048,2023/2/1 14:54,2023/2/3 1:41,2600
日用百货,20,58,115.8601295,28.69046095,120.5745821,30.00292714,2023/2/1 9:07,2023/2/2 16:06,3200
机器零件,32,93,115.8231048,28.70230714,115.35196,26.33164,2023/2/1 13:30,2023/2/2 20:29,1000
日用百货,20,59,115.8691,28.66915,121.5524027,29.87168381,2023/2/1 15:22,2023/2/2 22:04,3300
五金机械,20,41,114.9311052,25.38091952,116.3521,28.00172,2023/2/1 13:09,2023/2/2 15:42,1880
砂石散货,17,57,114.3511838,25.40097238,120.92132,30.85136,2023/2/1 13:01,2023/2/2 22:03,6300
生鲜果蔬,17,67,114.5312624,25.80102524,114.37916,27.80028,2023/2/1 14:58,2023/2/2 23:15,2045
砂石散货,31,63,114.9795638,27.12022238,119.6561964,29.08371,2023/2/1 14:56,2023/2/3 2:24,3200
机器零件,32,70,115.7797195,25.60033095,116.18189,29.2716,2023/2/1 14:45,2023/2/2 18:53,1000
生鲜果蔬,34,62,114.9307981,25.87078381,118.4306357,29.13586286,2023/2/1 8:44,2023/2/2 17:23,2900
日用百货,31,85,116.0300267,25.88043667,122.11225,30.02664571,2023/2/1 8:27,2023/2/2 19:18,6250
机器零件,34,62,114.9297952,25.87032952,120.95196,28.13164,2023/2/1 9:40,2023/2/2 15:21,6500
砂石散货,19,45,114.9795638,27.12022238,119.6561964,29.08371,2023/2/1 14:20,2023/2/3 1:49,3200
生鲜果蔬,18,68,114.9793324,27.12011524,115.88168,29.62148,2023/2/1 13:31,2023/2/2 18:37,1550
五金机械,17,64,116.265991,28.3658781,120.7027655,28.00176762,2023/2/1 14:23,2023/2/3 0:20,3200
生鲜果蔬,30,94,115.9451595,28.67498095,114.90036,27.05088,2023/2/1 10:20,2023/2/2 19:10,2045
五金机械,32,78,115.5481481,28.84801381,120.6828974,28.1517981,2023/2/1 14:28,2023/2/2 21:14,3300
砂石散货,33,71,116.2674667,28.36721667,120.95196,28.13164,2023/2/1 12:54,2023/2/2 15:00,3200
砂石散货,19,60,115.9238667,28.63333333,120.92012,30.85036,2023/2/1 15:36,2023/2/2 19:44,3200
生鲜果蔬,31,74,115.7335667,28.72278333,121.8507456,29.92994988,2023/2/1 13:46,2023/2/2 23:16,4500
机器零件,29,82,115.72323,28.71252,121.8707685,29.47990095,2023/2/1 10:43,2023/2/2 14:30,1500
生鲜果蔬,20,60,117.1202,28.9696,120.1506236,30.28021083,2023/2/1 8:45,2023/2/2 9:50,1350
生鲜果蔬,20,40,115.8703,28.6702,121.550738,29.87996619,2023/2/1 9:56,2023/2/2 15:41,3300
砂石散货,17,46,113.87001,27.64963,114.92954,25.86978,2023/2/1 15:46,2023/2/2 23:19,2045
五金机械,31,73,115.53993,28.83898,120.5717357,30.00014143,2023/2/1 12:33,2023/2/2 22:25,3200
五金机械,17,67,115.84971,28.67987,120.1706313,30.25019452,2023/2/1 13:20,2023/2/2 22:36,3200
五金机械,18,55,115.90866,28.68884,120.743385,28.87646571,2023/2/1 12:52,2023/2/2 21:40,3200
生鲜果蔬,18,40,115.86991,28.67001,115.36959,28.41988,2023/2/1 11:03,2023/2/2 11:12,2045
砂石散货,34,94,115.91966,28.62968,122.11056,30.02509571,2023/2/1 14:51,2023/2/2 18:40,1500
五金机械,30,76,115.72976,28.71975,114.26814,26.71902,2023/2/1 11:12,2023/2/2 15:23,1000
五金机械,29,75,115.72719,28.71699,122.3113536,29.95524143,2023/2/1 13:49,2023/2/2 18:17,1500
砂石散货,20,55,115.9230767,28.63272333,120.1706479,30.25015571,2023/2/1 8:45,2023/2/2 15:37,2600
日用百货,17,42,115.7329267,28.72244333,113.729433,27.649623,2023/2/1 11:47,2023/2/2 23:10,1350
日用百货,31,94,115.9527767,28.68216333,117.0708,28.27012,2023/2/1 13:30,2023/2/3 1:10,1500
砂石散货,30,87,116.17988,29.26986,120.743385,28.87646571,2023/2/1 9:40,2023/2/2 11:34,3200
日用百货,29,69,116.1799,29.26987,121.5507608,29.87991726,2023/2/1 8:15,2023/2/2 13:33,3300
生鲜果蔬,33,63,114.92992,27.79988,114.92954,25.86978,2023/2/1 10:03,2023/2/2 19:56,2045
生鲜果蔬,17,44,114.66953,27.81978,116.02983,25.87993,2023/2/1 12:12,2023/2/2 19:05,1550
五金机械,29,93,117.0708,28.27012,120.2706649,30.1701781,2023/2/1 13:09,2023/2/2 17:58,1350
生鲜果蔬,19,41,115.9092,28.6893,116.62011,28.23,2023/2/1 9:14,2023/2/2 18:19,2045
砂石散货,29,80,115.8703,28.6702,121.550738,29.87996619,2023/2/1 15:15,2023/2/2 21:43,3300
生鲜果蔬,17,43,115.92437,28.54363,120.92012,30.85036,2023/2/1 12:46,2023/2/2 13:55,3200
生鲜果蔬,20,48,115.72991,28.71984,122.2102064,30.00493,2023/2/1 10:30,2023/2/2 21:50,1500
生鲜果蔬,18,47,115.948825,28.678715,120.8208599,27.92970524,2023/2/1 10:32,2023/2/2 14:45,3200
五金机械,30,67,115.927794,28.547654,115.98022,29.73007,2023/2/1 13:56,2023/2/2 18:39,1000
日用百货,17,65,115.816763,28.696593,121.1330314,28.8563,2023/2/1 9:20,2023/2/2 20:42,3300
机器零件,33,63,115.545732,28.845532,121.5511698,29.88067619,2023/2/1 12:28,2023/2/2 17:41,1500
机器零件,31,92,116.264701,28.364471,115.88024,29.62008,2023/2/1 9:40,2023/2/2 10:11,1000
砂石散货,34,89,115.84846,28.67887,121.2825643,28.65582857,2023/2/1 13:24,2023/2/3 0:19,3300
五金机械,18,68,115.907269,28.687719,120.2706649,30.1701781,2023/2/1 8:19,2023/2/2 14:23,3200
机器零件,18,44,115.868378,28.668768,120.6508142,28.0198031,2023/2/1 8:54,2023/2/2 20:54,3200
日用百货,32,73,115.777717,25.598397,120.2006466,30.27016191,2023/2/1 9:27,2023/2/2 15:36,3200
五金机械,29,83,114.928596,25.868686,116.62011,28.23,2023/2/1 11:27,2023/2/2 22:06,1700
日用百货,33,80,116.027625,25.878175,115.98022,29.73007,2023/2/1 11:36,2023/2/2 13:36,1000
砂石散货,34,95,114.927194,25.867904,119.7210368,30.23006857,2023/2/1 12:31,2023/2/2 14:34,3300
日用百货,18,61,114.97984,27.12012,120.7005276,27.99955619,2023/2/1 9:19,2023/2/2 18:25,3300
生鲜果蔬,19,56,114.9794,27.1197,121.1508294,27.82977048,2023/2/1 13:42,2023/2/2 23:18,1500
五金机械,20,56,114.89887,27.04945,120.62757,27.77879,2023/2/1 9:18,2023/2/2 19:24,3300
五金机械,32,77,114.61912,27.37976,120.7008,30.77012,2023/2/1 10:52,2023/2/2 22:24,1500
生鲜果蔬,32,69,115.92437,28.54363,120.92012,30.85036,2023/2/1 15:21,2023/2/2 17:10,3200
五金机械,19,57,115.8197,28.6998,121.4304972,29.27962143,2023/2/1 15:35,2023/2/3 2:26,3300
砂石散货,20,46,115.5589,28.8587,119.9009793,31.01979785,2023/2/1 9:12,2023/2/2 19:57,3200
生鲜果蔬,20,60,116.2703,28.3705,120.0751418,29.30187465,2023/2/1 10:49,2023/2/2 11:21,2900
机器零件,19,40,115.8499496,28.67982607,120.743385,28.87646571,2023/2/1 14:38,2023/2/3 2:05,3200
机器零件,33,85,115.9000743,28.67990214,118.6298529,28.75476429,2023/2/1 14:15,2023/2/3 1:45,1350
五金机械,19,54,115.8692089,28.66896821,120.8208447,27.92973785,2023/2/1 10:24,2023/2/2 18:00,3200
机器零件,18,58,115.9183436,28.62803429,115.10026,29.27009,2023/2/1 11:39,2023/2/2 23:26,1000
砂石散货,20,69,115.7274782,28.71710036,120.4313575,30.87996964,2023/2/1 15:45,2023/2/3 3:37,3200
生鲜果蔬,20,60,117.950365,28.43006072,114.53109,25.8005,2023/2/1 8:28,2023/2/2 15:27,2900
机器零件,33,82,116.6803726,28.7000444,121.8707685,29.47990095,2023/2/1 13:15,2023/2/3 0:04,3300
砂石散货,34,94,117.8503802,29.25002809,114.92954,25.86978,2023/2/1 12:05,2023/2/2 15:05,1350
砂石散货,18,40,117.9503879,28.43001178,120.8208599,27.92970524,2023/2/1 15:39,2023/2/2 20:55,1350
日用百货,17,63,120.1503954,30.27999547,118.6298529,28.75476429,2023/2/1 11:08,2023/2/2 17:23,1000
生鲜果蔬,32,64,120.1704031,30.24997917,116.34978,27.9799,2023/2/1 12:59,2023/2/2 17:58,2600
日用百货,18,55,116.5292646,27.21910107,121.3911933,28.58462322,2023/2/1 13:50,2023/2/2 20:58,3200
五金机械,18,49,120.2004184,30.26994655,113.729433,27.649623,2023/2/1 8:08,2023/2/2 20:08,1500
生鲜果蔬,20,64,115.53969,28.838695,120.8208447,27.92973785,2023/2/1 11:37,2023/2/2 20:30,3300
