type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
生鲜果蔬,20,47,114.9296,25.86932,118.4306357,29.13586286,2023/2/1 12:54,2023/2/2 14:09,2900
日用百货,17,59,116.0293667,25.87944667,118.6314429,28.75625429,2023/2/1 11:45,2023/2/2 21:18,1350
砂石散货,17,49,114.9291352,25.86933952,121.1346714,28.85782,2023/2/1 13:23,2023/2/2 21:48,1500
机器零件,33,79,114.9789038,27.11923238,116.03132,25.88136,2023/2/1 12:14,2023/2/2 19:59,1000
砂石散货,17,43,114.9786724,27.11912524,121.7225346,29.95171429,2023/2/1 8:36,2023/2/2 17:47,1500
日用百货,34,91,114.898441,27.0490181,121.8525017,29.93170667,2023/2/1 10:34,2023/2/2 14:43,6000
机器零件,18,55,114.6182095,27.37891095,119.9366893,28.45879857,2023/2/1 11:34,2023/2/2 16:41,3300
日用百货,32,83,115.9236681,28.54309381,114.93224,25.8318,2023/2/1 12:00,2023/2/2 19:01,1000
机器零件,33,84,115.8193067,28.69947667,115.35196,26.33164,2023/2/1 9:07,2023/2/2 10:56,1000
砂石散货,31,61,115.5583152,28.85848952,120.95196,28.13164,2023/2/1 8:28,2023/2/2 19:19,3300
机器零件,34,80,116.2696238,28.36970238,120.172007,30.25159238,2023/2/1 15:41,2023/2/2 23:00,2600
五金机械,33,80,115.8494324,28.67941524,116.53168,27.22148,2023/2/1 11:52,2023/2/2 20:06,1000
机器零件,18,70,115.899591,28.6795281,120.202073,30.27160762,2023/2/1 10:53,2023/2/2 21:41,2600
砂石散货,31,88,115.8687595,28.66863095,116.03132,25.88136,2023/2/1 12:28,2023/2/2 15:30,2045
日用百货,33,94,115.9179281,28.62773381,120.9057929,29.50351429,2023/2/1 11:20,2023/2/2 19:53,3200
砂石散货,18,61,115.7270967,28.71683667,117.97189,28.4516,2023/2/1 13:02,2023/2/2 18:18,1350
日用百货,18,45,117.9500173,28.42983381,114.93245,25.38192,2023/2/1 13:29,2023/2/2 20:41,1350
生鲜果蔬,31,64,116.6800589,28.69985428,121.1526665,30.03174476,2023/2/1 8:46,2023/2/2 8:58,3200
五金机械,31,88,117.8501005,29.24987476,114.9806,27.121,2023/2/1 9:25,2023/2/2 19:04,1350
五金机械,31,75,117.9501421,28.42989524,113.8513,27.6315,2023/2/1 11:54,2023/2/2 12:56,2900
五金机械,17,44,120.1501835,30.27991571,115.98161,29.73144,2023/2/1 9:54,2023/2/2 14:08,2900
机器零件,18,41,120.1702251,30.24993619,116.35132,27.98136,2023/2/1 11:45,2023/2/2 20:33,2600
砂石散货,31,61,120.1702667,30.27995667,115.98161,29.73144,2023/2/1 14:16,2023/2/2 17:07,2900
生鲜果蔬,19,43,120.2003082,30.26997714,114.93231,25.87184,2023/2/1 12:33,2023/2/2 21:02,3300
生鲜果蔬,33,95,115.5396138,28.83876238,122.2118464,30.00645,2023/2/1 13:12,2023/2/2 21:05,1500
机器零件,18,48,116.2587824,28.35786524,120.5749857,30.00312286,2023/2/1 15:17,2023/2/2 20:35,3200
五金机械,29,74,115.839151,28.6684681,121.1346714,28.85782,2023/2/1 13:19,2023/2/2 22:32,3300
日用百货,32,74,115.9001195,28.67807095,120.5745821,30.00292714,2023/2/1 8:47,2023/2/2 18:37,3200
五金机械,20,53,115.8572881,28.65617381,114.37916,27.80028,2023/2/1 9:50,2023/2/2 14:40,1000
五金机械,33,65,114.9303867,25.87016667,114.26964,26.72052,2023/2/1 12:11,2023/2/2 14:03,1000
砂石散货,19,63,116.0296152,25.87981952,120.9057929,29.50351429,2023/2/1 11:52,2023/2/2 19:08,3300
机器零件,33,61,114.9297952,25.87032952,120.95196,28.13164,2023/2/1 14:10,2023/2/2 20:57,1500
砂石散货,17,60,114.9791524,27.11960524,120.6527985,28.02177524,2023/2/1 15:05,2023/2/3 3:04,3300
砂石散货,20,59,114.978921,27.1194981,115.00238,25.87188,2023/2/1 10:59,2023/2/2 17:57,2045
生鲜果蔬,20,66,114.8986895,27.04939095,121.5724357,29.87169143,2023/2/1 14:09,2023/2/3 1:53,1500
机器零件,17,60,114.6184581,27.37928381,116.62175,28.23152,2023/2/1 16:00,2023/2/2 23:48,1350
机器零件,18,55,114.9782267,27.11917667,120.8229963,27.93182095,2023/2/1 9:27,2023/2/2 15:35,1500
砂石散货,30,90,114.2679952,26.71906952,119.9362857,28.45860286,2023/2/1 15:56,2023/2/2 23:27,3300
机器零件,31,95,114.3777638,27.79896238,113.8714,27.651,2023/2/1 13:18,2023/2/2 23:37,1000
五金机械,33,70,115.9211724,28.63127524,117.0721,28.27172,2023/2/1 13:59,2023/2/2 22:48,1000
机器零件,20,57,115.731131,28.7210881,117.97189,28.4516,2023/2/1 11:20,2023/2/2 14:16,1350
五金机械,18,56,115.9504495,28.68029095,121.5525676,29.8817219,2023/2/1 13:21,2023/2/2 18:46,3300
机器零件,33,69,115.9287781,28.54848381,121.2838643,28.65742857,2023/2/1 12:04,2023/2/2 21:10,3300
砂石散货,18,58,115.8145797,28.69412867,118.879425,28.93527571,2023/2/1 13:49,2023/2/2 18:33,1350
机器零件,19,40,115.5418252,28.84122952,120.1722379,30.25164571,2023/2/1 14:25,2023/2/2 21:24,3200
生鲜果蔬,29,84,120.2003082,30.26997714,114.93231,25.87184,2023/2/1 11:30,2023/2/2 17:41,3300
五金机械,18,64,115.8411064,28.67089124,121.4430571,28.68703714,2023/2/1 11:19,2023/2/2 14:03,3300
机器零件,20,63,115.898192,28.6779021,120.1321389,30.27162286,2023/2/1 10:55,2023/2/2 18:42,2900
日用百货,20,40,115.8575775,28.65711295,120.7027655,28.00176762,2023/2/1 15:39,2023/2/2 17:40,3200
五金机械,33,64,115.9054631,28.61482381,119.9362857,28.45860286,2023/2/1 8:57,2023/2/2 10:00,2600
日用百货,33,62,115.3694967,28.41999667,119.2822708,29.48165333,2023/2/1 11:32,2023/2/2 21:34,2600
砂石散货,19,51,116.3505752,28.00044952,121.8726006,29.48172952,2023/2/1 12:51,2023/2/2 21:29,3300
砂石散货,19,41,116.3498038,27.98010238,120.1722379,30.25164571,2023/2/1 13:47,2023/2/2 15:50,2600
日用百货,30,65,116.5301724,27.22023524,121.4326336,29.28173714,2023/2/1 11:14,2023/2/2 17:40,3200
日用百货,20,57,116.620251,28.2302881,114.93108,25.87124,2023/2/1 8:45,2023/2/2 19:32,1700
机器零件,18,51,116.5303295,27.22034095,117.1712,29.2713,2023/2/1 14:43,2023/2/2 20:01,1000
砂石散货,31,67,117.9704081,28.45039381,120.7027655,28.00176762,2023/2/1 9:09,2023/2/2 9:20,1350
五金机械,20,57,117.9503688,28.43036096,114.93224,25.8318,2023/2/1 11:02,2023/2/2 21:18,1350
日用百货,20,54,116.6804103,28.70038142,120.4329679,30.88214429,2023/2/1 12:32,2023/2/2 13:42,2600
生鲜果蔬,20,40,117.8504519,29.2504019,115.98161,29.73144,2023/2/1 13:42,2023/2/2 15:22,1820
