type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
日用百货,17,50,115.8512,28.6813,114.9788181,27.11934381,2023/2/1 14:55,2023/2/3 1:08,1000
日用百货,31,66,115.9102,28.6903,120.2004797,30.27023429,2023/2/1 15:21,2023/2/3 0:11,2600
五金机械,31,91,115.8715,28.6715,116.6802303,28.70011142,2023/2/1 10:24,2023/2/2 21:00,1000
砂石散货,18,50,115.78103,25.60128,120.1706874,30.25033666,2023/2/1 10:33,2023/2/2 17:41,3200
生鲜果蔬,31,60,114.9321,25.87172,116.6802303,28.70011142,2023/2/1 10:05,2023/2/2 21:47,1350
砂石散货,18,50,116.03132,25.88136,120.4317329,30.88000381,2023/2/1 15:47,2023/2/2 17:16,3200
日用百货,18,40,114.93108,25.87124,115.8797267,29.61956667,2023/2/1 9:19,2023/2/2 13:04,1880
机器零件,19,43,114.98084,27.12112,119.6534935,29.08063952,2023/2/1 8:01,2023/2/2 12:04,3200
生鲜果蔬,33,84,114.9806,27.121,120.2004797,30.27023429,2023/2/1 12:18,2023/2/2 23:16,3300
五金机械,19,67,114.90036,27.05088,120.6513937,28.02068476,2023/2/1 15:20,2023/2/2 17:07,1500
生鲜果蔬,32,70,114.62012,27.38076,121.7210613,29.95052096,2023/2/1 8:55,2023/2/2 10:17,6830
机器零件,34,78,115.92557,28.54493,116.6802303,28.70011142,2023/2/1 10:58,2023/2/2 17:36,1000
生鲜果蔬,34,68,115.8212,28.7013,114.9302838,25.87001238,2023/2/1 10:52,2023/2/2 15:30,1550
日用百货,20,64,115.5602,28.8603,117.9702281,28.45012381,2023/2/1 12:34,2023/2/2 15:46,1350
砂石散货,20,68,116.2715,28.3715,120.9031415,29.50051239,2023/2/1 15:31,2023/2/3 0:15,3200
砂石散货,33,78,115.8513,28.6812,116.0295124,25.87966524,2023/2/1 10:08,2023/2/2 10:48,2045
日用百货,30,80,115.90145,28.6813,120.1706043,30.25029572,2023/2/1 15:16,2023/2/2 16:13,2600
生鲜果蔬,29,83,115.87061,28.67039,115.3501267,26.32990667,2023/2/1 11:41,2023/2/2 14:55,2045
日用百货,31,83,115.91977,28.62948,114.3506695,25.40020095,2023/2/1 12:57,2023/2/2 15:20,1350
砂石散货,20,70,115.72893,28.71857,120.150355,30.28017286,2023/2/1 9:30,2023/2/2 19:20,3200
五金机械,18,66,117.9518421,28.43155429,120.1704381,30.28021381,2023/2/1 13:51,2023/2/2 17:55,1350
日用百货,31,93,116.6818751,28.7015619,118.6280715,28.75229239,2023/2/1 14:08,2023/2/2 17:19,1700
砂石散货,18,44,117.8519081,29.25156952,114.929281,25.8695581,2023/2/1 10:44,2023/2/2 13:19,1350
生鲜果蔬,20,64,117.9519411,28.43157714,116.1799624,29.26972524,2023/2/1 12:21,2023/2/2 19:25,1820
五金机械,18,47,120.151974,30.28158476,119.6534935,29.08063952,2023/2/1 12:55,2023/2/2 13:47,1000
砂石散货,19,69,120.172007,30.25159238,116.5299924,27.21996524,2023/2/1 11:24,2023/2/2 20:56,2600
日用百货,20,42,120.17204,30.2816,114.6691195,27.81943095,2023/2/1 13:01,2023/2/2 20:44,3300
砂石散货,32,90,120.202073,30.27160762,114.930591,25.3801481,2023/2/1 15:46,2023/2/2 17:50,3300
机器零件,34,87,115.54137,28.84038,114.9302838,25.87001238,2023/2/1 12:03,2023/2/2 21:45,1000
